year,name
2023,Du-Bois Asante
2023,Isaac Tabiri Henneh
2023,George Yaw Hadzi
2023,Valentina Arkorful
2023,Monica Ofosu-Koranteng
2023,Emmanuel Arthur-Nyarko
2023,Kwaku Anhwere Barfi
2023,Nelly Abaidoo
2023,Jacob Owusu Sarfo
2023,Gloria Tachie-Donkor
2023,Derek Anamaale Tuoyire
2023,Mawuli Gyakobo
2023,Robert Biney
2023,Justus Deikumah
2023,John Koku Awoonor-Williams
2023,Sabina Appiah-Boateng
2023,Richard Oppong-Ntiri
2023,Kaderi Noagah Bukari
2023,Razak Jaha Imoro
2023,Musah Dankwah
2023,Richard Ametefe
2023,Nazir Kizzie-Hayford
2023,Aaron Tettey Asare
2023,Jerry Ampofo-Asiama
2023,Salifu Seidu-Larry
2023,Christiana Odumah Hood
2023,Rosemond Godbless Dadzie
2023,Baffour Kyei-Asante
2023,Claudia Asantewaa Gyimah
2023,Joshua Akanson
2023,Ernest Obese
2023,Isaac Atta
2023,Richmond Afoakwah
2023,Isaac Okyere
2023,Dorcas Naa Odarley Ablateye
2023,Francis Tambo
2023,Maxwell Abedi
2023,Abdala Mumuni Ussif
2023,Charlotte Omane Kwakye-Nuako
2023,Samuel Yaw Ampofo
2023,Vera Arhin
2023,Michael Boakye-Yiadom
2023,Elizabeth Darko Agyei
2023,Japhet Kwasi Osiakwan
2023,Ebo Amuah
2023,Edmond Kwesi Agormedah
2023,Leticia Bosu
2023,Prince Yeboah Asare
2023,Gifty Williams
2023,Nana Ama Frimpomaa Agyapong
2023,Jessica Ayensu
2023,Christiana Nsiah-Asamoah
2023,Prince Amoah Barnie
2023,Cynthia Ayefoumi Adinortey
2023,Andrew Adjei Druye
2023,Christian Makafui Boso
2023,Susanna Aba Abraham
2023,Nathan Kumasenu Mensah
2023,Godwin Adzakpah
2023,Amanda Odoi
2023,Ernest Ako
2023,William Kodom Gyasi
2023,Isaac Newton Nyatuame
2023,Bangmarigu Jonah
2023,Francis Kumi
2023,Samuel Tetteh
2023,Kofi Acheaw Owusu
2023,Theodora Dedo Azu
2023,Daniel Obeng-Mensah
2023,Akosua Dufie Ankomah
2023,Mabel Anim
2023,Kasim Abdulai
2023,Christopher Mensah Adosi
2023,Hope Pius Nudzor
2023,Alfred Ampah-Mensah
2023,Wisdom Kwaku Agbevanu
2023,Bapentire Donatus
2023,Theophilus Ocran
2023,Osman Imoro
2023,Ebenezer Aggrey
2023,James Kojo Prahcx
2023,Cecil Banson
2023,Kwame Twumasi Ampofo
2023,Benedict Addo-Yeboa
2023,Mohammed N. Abdulai
2023,Mac-Anthony Cobbiah
2023,Christopher Kwame Filson
2023,Gloria Bosomtwi Amoah
2023,Paul Nunekpeku
2023,Abdul-Jaleel Saani
2023,Lebbaeus Asamani
2023,Justice Kwaku Addo
2023,Evans Kwasi Arizi
2023,Michael Ntoide
2023,Joyce Agyeiwaa
2023,S. Moore
2023,G. L. A. Dali
2023,Martha Osei-Marfo
2023,Mainprice Akuoko Essuman
2023,Orleans Nii Korley Martey
2023,Samuel Kyei
2023,Selorm Akaba
2023,Christian Kwesi Mensah
2023,Andrew Huzortey
2023,Frederick Nsantimba
2023,Paul Narh Doku
2023,Jonathan Asante
2023,Samuel Essien-Baidoo
2023,Kobina Esia-Donkor
2023,Hannah Benedicta Taylor-Abdulai
2023,Leonard Derkyi-Kwarteng
2023,Precious Barnes
2023,Benjamin Amoani
2023,Regina Anuwah Obeng
2023,Esther Bema Nimo
2023,Daniel Miezah
2023,Vincent Mensah Minadzi
2023,Moses Segbenya
2023,Harriet Muriel Dzifa Potakey
2023,Janet Serwah Boateng
2023,Prince Wiafe
2023,Richard Takora Baabil
2023,Kassimu Issau
2023,Innocent Senyo Kwasi Acquah
2023,Zulaiha Hamidu
2023,Judith Quiacoe
2023,Keren Naa Abeka Arthur
2023,Margaret Delali Numekevor
2023,Promise Nyatepeh Nyatuame
2023,Alexander Nuer
2023,Jacob Nyarko
2023,Amo Ofori
2023,Roseline L. Macarthur
2023,Lydia Aframea Dankyi
2023,Joyce Kwakweywaa Dankyi
2023,Ivy Kessewa Nkrumah
2023,Isaac Buabeng
2023,Kyeremeh-Tawiah Dabone
2023,Ewura Seidu Yahaya
2023,Phyllis Owusu Agyei
2023,Martins Ekor
2023,Frank Kweku Ackah
2023,Wendy Ansah
2023,Irene Kafui Vorsah Amponsah
2023,Josiah Wilson Tachie-Menson
2023,Martin Bosompem
2023,Andrews Kudom
2023,J. K. Hagan
2023,Ernest Teye
2023,Isaac Tetteh Commey
2023,Baaba Micah
2023,Oluwayemisi Esther Ekor
2023,Caleb Agbale
2023,Samuel Kofi Tulashie
2023,Kwaku Darkwa
2023,John Otchere
2023,Kojo Sekyi Acquah
2023,Emmanuel Oluwabusola
2023,Kwame Kumi Asare
2023,Akwasi Anyanful
2023,Godwin Kwakye-Nuako
2023,Justice Afrifa
2023,Stephen Kwaku Amoah
2023,Francis Tanam Djankpa
2023,Emmanuel Wisgtos Inkoom
2023,Lawrence Yirenkye
2023,James Okorie
2023,Paul Nyagorme 
