year,name
2021,Eric Awotwe
2021,Eric Agyenim-Boateng
2021,Daniel Osei
2021,Madison Adanusa
2021,Oheneba Charles Kofi Hagan
2021,George Adjei
2021,Faustina Pappoe
2021,Victor Fiifi Addison
2021,Evelyn Osam-Pinanko
2021,Osman Imoro
2021,Kwaku Anhwere Barfi
2021,Valentina Arkorful
2021,Justice Kofi Armah
2021,Daniel Fiaveh
2021,John Oti Amoah
2021,Jacob Nunoo
2021,Wisdom Kwaku Agbavenu
2021,Samuel K. Tulashie
2021,Moses Teye
2021,Xavier Kofi Akotoye
2021,Daniel Anokwa
2021,Ama Kyeraa Thomford
2021,Sussana Aba Abraham
2021,Joana Eva Dodoo
2021,Isaac Nuokyaa-Ire Mwinlaaru
2021,Joshua Amo-Adjei
2021,Dora F. Edu-Buandoh
2021,Dorothy Takyiawkaa
2021,Derek Anamaale Tuoyire
2021,Elizabeth Amanfu Agyare
2021,Kwadwo Addo Tuffour
2021,Patrick Osei-Kufuor
2021,Joshua Sebu
2021,James Atta Peprah
2021,Nazir Kizzie-Hayford
2021,Ernest Abano
2021,Jerry Ampofo Asiama
2021,Joshua Akanson
2021,Esi
2021,Amissah
2021,Sheila Matilda Ayorkor Tagoe
2021,Theophilus A. Mensah
2021,Andrew Nketia Gyenfie
2021,Aaron Tettey Asare
2021,Rebecca Owusu Coffie
2021,Alex Tetteh Nuer
2021,Fatimah Abubakari
2021,Lawrence Acheampong
2021,Victor Yao Atsu Barku
2021,Alex Boye
2021,Esinam Ami Avornyo
2021,Daniel Lawer Egbenya
2021,Gordon Kyei
2021,Patience Danquah Monnie
2021,Modesta E. Gavor
2021,Edward Wilson Ansah
2021,J. K. Mintah
2021,Daniel Apaak
2021,J. O. Sarfo
2021,Thomas Hormenu
2021,Charles Domfeh
2021,Salome Amissah-Essel
2021,Michael Agyei
2021,Michael Boakye-Yiadom
2021,Hope Pius Nudzor
2021,Emmanuel Kwasi Abu
2021,Stephen Ocansey
2021,Samuel Abokyi
2021,Michael Ntodie
2021,Enyam Morny
2021,Carl Halladay Abraham
2021,Peter Adueming
2021,Peter Robert Biney
2021,Ernest Obese
2021,Isaac Tabiri Henneh
2021,Isaac Yaw Attah
2021,Mustapha
2021,Samuel B. Boadi-Kusi
2021,Regina Amoako-Sakyi
2021,Esther Eshun Oppong
2021,Jonathan Asante
2021,Daniel Anokwah
2021,Emmanuel Adakudugu
2021,John Wendie Ansah
2021,Issahaku Adam
2021,Moses Segbenya
2021,Lydia Aframea Dankyi
2021,Joyce Kwakyewaa Dankyi
2021,Vincent Mensah Minadzi
2021,Paul Mensah Agyei
2021,Anthony Kwabena Nkyi
2021,Jerry Paul K. Ninnoni
2021,Ernest Teye
2021,Rebecca Owusu
2021,Kofi Atiah
2021,Kwadwo Kusi Amoah
2021,Francis Ackah
2021,Kwesi Prah Thompford
2021,Elizabeth Effah
2021,Isaiah Kofi Arhin
2021,Silas Osei Acheampong
2021,Emmanuel Awinting Adakulugu
2021,Maame Yaa Aboakye
2021,Francis Kumi
2021,Joel B. K. Asiedu
2021,Paul A. Asare
2021,Stephen E. Moore
2021,Benjamin Amoani
2021,Maame Yaa Adomah Aboagye
2021,Harriet Muriel Dzifa Potakey
2021,Nana Amma Anokye
2021,Janet Serwah Boateng
2021,David Wellington Essaw
2021,Musah Dankwah
2021,Alexander Weremfo
2021,Josiah Tachie-Menson
2021,Mohammed Augustine Takase
2021,Daniel Agyirifo Sakyi
2021,Theophilus Abonyi Mensah
2021,Richard Adade
2021,Ransford Opoku Darko
2021,Ernestina Larbie
2021,Rachel Amanfu
2021,Felix Kwame Kumedzro
2021,Samuel Ampofo
2021,Angela Dziedzom Akorsu
2021,Benjamin Y. Tachie
2021,Mustapha Kobina Abeka
2021,Elizabeth Agyare
2021,Leonard Derkyi-Kwarteng
2021,Kafui Patrick Akakpo
2021,Stephen Ayisi-Addo
2021,George Ghartey-Kwansah 
