authors,title,year,scholar_link
"(1) AS Bockarie, YA Nartey, P Nsiah, EKM Edzie, D Tuoyire, S Acquah, ...",Fatty liver biomarkers and insulin resistance indices in the prediction of non-alcoholic fatty liver disease in Ghanaian patients,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5aZOjYQAAAAJ&pagesize=100&citation_for_view=5aZOjYQAAAAJ:_xSYboBqXhAC
"(4) AS Bockarie, YA Nartey, P Nsiah, EKM Edzie, D Tuoyire, S Acquah, ...",Fatty liver biomarkers and insulin resistance indices in the prediction of non‐alcoholic fatty liver disease in Ghanaian patients,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tdVUVmwAAAAJ&pagesize=100&citation_for_view=tdVUVmwAAAAJ:dhFuZR0502QC
"(3) CA Adongo, DA Tuoyire, M Azuug, AB Appiah, F Taale, I Amadu",Decolonising vaccine production: Unpacking Ghanaians’ support for made-in-Africa vaccines,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=O9O00t0AAAAJ&pagesize=100&citation_for_view=O9O00t0AAAAJ:3fE2CSJIrl8C
"(5) D Takyiakwaa, DA Tuoyire, SA Abraham, EA Agyare, JO Amoah, ...",Culture and pandemic control at cross-roads: navigating the burial guidelines for COVID-19-related deaths in a Ghanaian setting,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:zLWjf1WUPmwC
"(1) D Takyiakwaa, DA Tuoyire, SA Abraham, EA Agyare, JO Amoah, ...",Culture and pandemic control at cross-roads: navigating the burial guidelines for COVID-19-related deaths in a Ghanaian setting,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JgxZFpQAAAAJ&pagesize=100&citation_for_view=JgxZFpQAAAAJ:roLk4NBRz8UC
"(2) DA Tuoyire, J Amo-Adjei","Preceding birth interval, timing and number of antenatal contacts in Africa, 2010–2020",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=O9O00t0AAAAJ&pagesize=100&citation_for_view=O9O00t0AAAAJ:8k81kl-MbHgC
"(3) CA Adongo, DA Tuoyire, M Azuug, AB Appiah, F Taale, I Amadu",Vaccine: X,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=O9O00t0AAAAJ&pagesize=100&citation_for_view=O9O00t0AAAAJ:4DMP91E08xMC
(1) R Biney,DITERPENES AS SCAFFOLDS FOR NOVEL AGENTS AGAINST CNS DISORDERS,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ClBanEoAAAAJ&pagesize=100&citation_for_view=ClBanEoAAAAJ:ZHo1McVdvXMC
"(3) JP Deikumah, RP Biney, JK Awoonor-Williams, MK Gyakobo","Compendium of medically important snakes, venom activity and clinical presentations in Ghana",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4lkD0QYAAAAJ&pagesize=100&citation_for_view=4lkD0QYAAAAJ:_kc_bZDykSQC
"(2) RO Ntiri, S Appiah-Boateng, F Koomson",Beyond the numbers: Group formation in the artisanal and small-scale mining in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=H-bMPp8AAAAJ&pagesize=100&citation_for_view=H-bMPp8AAAAJ:BqipwSGYUEgC
