authors,title,year,scholar_link
"(1) I Dadzie, SA Avorgbedo, R Appiah-Opong, O Cudjoe",Cytotoxic and antioxidant effects of antimalarial herbal mixtures,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=TPxUvSEAAAAJ&pagesize=100&citation_for_view=TPxUvSEAAAAJ:wbdj-CoPYUoC
"(3) P James, A Hayfron-Benjamine, M Abdulai, O Lasim, N Yvonne, ...","Predictors of HIV stigma among health workers in the Cape Coast metropolis, Ghana",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=V5YETOoAAAAJ&pagesize=100&citation_for_view=V5YETOoAAAAJ:zYLM7Y9cAGgC
"(2) J Prah, A Hayfron-Benjamine, M Abdulai, O Lasim, Y Nartey, ...","Predictors of HIV stigma among health workers in the Cape Coast metropolis, Ghana",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=bUGmwa0AAAAJ&pagesize=100&citation_for_view=bUGmwa0AAAAJ:WF5omc3nYNoC
"(2) B Ekumah, FA Armah, DO Yawson, R Quansah, FE Nyieku, SA Owusu, ...","Disparate on-site access to water, sanitation, and food storage heighten the risk of COVID-19 spread in Sub-Saharan Africa",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=9rptEvoAAAAJ&pagesize=100&citation_for_view=9rptEvoAAAAJ:Zph67rFs4hoC
"(2) DE Adzovie, AB Jibril, RH Adzovie, IE Nyieku",E-learning resulting from Covid-19 pandemic: A conceptual study from a developing country perspective,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_tAEeEUAAAAJ&pagesize=100&citation_for_view=_tAEeEUAAAAJ:zYLM7Y9cAGgC
"(1) AR Afitiri, FA Armah, B Ekumah, FE Nyieku, DO Yawson, JO Odoi",Cumulative effects of environmental factors on household childhood diarrhoea in Ghana,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=1RmZz2YAAAAJ&cstart=100&pagesize=100&citation_for_view=1RmZz2YAAAAJ:zLWjf1WUPmwC
"(1) FE Nyieku, HMK Essandoh, FA Armah, E Awuah",Joint influence of hydraulic load and hydraulic retention time on oilfields wastewater contaminant removal dynamics in free water surface flow constructed wetland,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=1RmZz2YAAAAJ&cstart=100&pagesize=100&citation_for_view=1RmZz2YAAAAJ:uWiczbcajpAC
"(1) PNY Kwafoa, O Imoro",Library services for the visually impaired: Case study of academic libraries in Ghana,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=aHyDZJ0AAAAJ&pagesize=100&citation_for_view=aHyDZJ0AAAAJ:IjCSPb-OGe4C
"(1) PNY Kwafoa, O Imoro",Library Services for the Visually Impaired: Case Study of Academic Libraries in Ghana.,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Zqtpw08AAAAJ&pagesize=100&citation_for_view=Zqtpw08AAAAJ:UeHWp8X0CEIC
"(2) M Ampah-Johnston, PNY Kwafoa","Impact of Library Automation on the Professional Development and Job Satisfaction of Staff: A Case Study of Sam Jonah Library, University of Cape Coast.",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=aHyDZJ0AAAAJ&pagesize=100&citation_for_view=aHyDZJ0AAAAJ:YsMSGLbcyi4C
"(2) BK Avuglah, CM Owusu-Ansah, G Tachie-Donkor, EB Yeboah",Privacy issues in libraries with online services: Attitudes and concerns of academic librarians and university students in Ghana,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=PfN8FGcAAAAJ&pagesize=100&citation_for_view=PfN8FGcAAAAJ:YsMSGLbcyi4C
"(2) E Martin-Yeboah, CK Filson, K Boohene","Towards institutional repository sustainability: lecturers awareness, patronage and content submission to the University of Cape coast repository",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=3UIgBEwAAAAJ&pagesize=100&citation_for_view=3UIgBEwAAAAJ:WF5omc3nYNoC
"(2) C Addei, CE Osei, T Addai-Mununkum",Coming of Age through War: Exploring Bildung in Adichie’s half of a Yellow Sun,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=joulQxwAAAAJ&pagesize=100&citation_for_view=joulQxwAAAAJ:_FxGoFyzp5QC
"(1) JW Ansah, D Takyiakwaa, E Atakora, M Amoah","‘House to let’: housing agents, social networks and Ghana’s housing law and policy",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JgxZFpQAAAAJ&pagesize=100&citation_for_view=JgxZFpQAAAAJ:IjCSPb-OGe4C
"(2) C Nsiah-Asamoah, DT Doku, S Agblorti",Mothers’ and Grandmothers’ misconceptions and socio-cultural factors as barriers to exclusive breastfeeding: A qualitative study involving Health Workers in two rural districts …,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=1w6_VXEAAAAJ&pagesize=100&citation_for_view=1w6_VXEAAAAJ:ZfRJV9d4-WMC
"(2) RPK Andoh, R Appiah, PM Agyei","Postgraduate distance education in university of cape coast, Ghana: Students’ perspectives",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Prxa-csAAAAJ&pagesize=100&citation_for_view=Prxa-csAAAAJ:9yKSN-GCB0IC
"(1) RAK Awindaogo, I Ekem, NA Awuku, S Salia, M Agyei, YA Nartey, ...",Reversible hyperpigmentation in Vitamin B12 deficiency: an Addisonian mimic in clinical practice,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=KlO2SyoAAAAJ&pagesize=100&citation_for_view=KlO2SyoAAAAJ:L8Ckcad2t8MC
"(1) D Ofosuhene, Z Sammo",Does Contract Employment Affect the Behaviour of Employees?,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=qNcrRokAAAAJ&pagesize=100&citation_for_view=qNcrRokAAAAJ:Tyk-4Ss8FVUC
(1) D Ofosuhene,Job Stress and Human Resources Development,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=qNcrRokAAAAJ&pagesize=100&citation_for_view=qNcrRokAAAAJ:Y0pCki6q_DkC
"(1) SY Danso, Y Ma, YDA Adjakloe, IY Addo",Application of an index-based approach in geospatial techniques for the mapping of flood hazard areas: a case of cape coast metropolis in Ghana,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=fClY5K8AAAAJ&pagesize=100&citation_for_view=fClY5K8AAAAJ:u-x6o8ySG0sC
"(2) AE Setorwofia, JE Nana Otoo, EA Arko, YA Adjakloe, TK Ojo","Self-reported pedestrian knowledge of safety by school children in cape coast metropolis, Ghana",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=l-7m00gAAAAJ&pagesize=100&citation_for_view=l-7m00gAAAAJ:MXK_kJrjxJIC
"(2) YDA Adjakloe, ENK Boateng, F Agyapong, S Aboagye Osei, C Koranteng, ...",Gendered perspective on road crossing behaviors: A study of university of cape coast students,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=LNhY5_EAAAAJ&pagesize=100&citation_for_view=LNhY5_EAAAAJ:roLk4NBRz8UC
"(2) LK Dadzie, J Amo-Adjei, K Esia-Donkoh",Women Empowerment and Frequency of Meal Intake among Children in Ghana,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=bz47NdQAAAAJ&pagesize=100&citation_for_view=bz47NdQAAAAJ:lSLTfruPkqcC
